plot_name,locality_name,country,team_leader,additional_people,ddlat,ddlon,date_census_1
Ngovayang001,Ngovayang,Cameroun,Texier N.,"M. Libalah, G. Mofack, D. Zebaze, N. Kamdem",3.24677,10.5633,1/1/2015
Ngovayang002,Ngovayang,Cameroun,Texier N.,"M. Libalah, G. Mofack, D. Zebaze, N. Kamdem",3.23407,10.5789,1/1/2015
Somalomo007,Somalomo,Cameroun,LIBALAH M.,"ZEBAZE D., NGANA O., TAYO K.",3.3465,12.7076,1/1/2015
Somalomo008,Somalomo,Cameroun,LIBALAH M.,"ZEBAZE D., NGANA O., TAYO K.",3.34892,12.7231,1/1/2015
Somalomo009,Somalomo,Cameroun,LIBALAH M.,"ZEBAZE D., NGANA O., TAYO K.",3.34195,12.7335,1/1/2015
Somalomo010,Somalomo,Cameroun,LIBALAH M.,"ZEBAZE D., NGANA O., TAYO K.",3.32897,12.7267,1/1/2015
Somalomo011,Somalomo,Cameroun,LIBALAH M.,"ZEBAZE D., NGANA O., TAYO K.",3.34078,12.7246,1/1/2015
AlpiCam007,Comifac,Cameroun,Texier N.,"M. Libalah, G. Mofack, D. Zebaze, N. Kamdem, O. Ngana",3.8815,14.3937,1/1/2015
AlpiCam008,Comifac,Cameroun,Texier N.,"M. Libalah, G. Mofack, D. Zebaze, N. Kamdem, O. Ngana",3.88043,14.3873,1/1/2015
nachtigal004,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.36775,11.704,2/28/2018
nachtigal005,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.3612,11.7198,3/8/2018
nachtigal006,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.3246,11.6642,3/7/2018
nachtigal007,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.41767,11.7229,5/1/2018
nachtigal008,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.40933,11.72,5/2/2018
nachtigal009,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.45401,11.8143,5/4/2018
nachtigal010,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.46006,11.8232,5/8/2018
nachtigal011,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.44403,11.8133,5/9/2018
AlpiCam001,Alpicam,Cameroun,Ploton P.,Droissart V. Moses L.,3.67155,14.7112,2/28/2013
AlpiCam004,AlpiCam,Cameroun,Droissart V.,"Moses L., Deblauwe V.",3.68774,14.681,5/20/2013
AlpiCam017,AlpiCam,Cameroun,Cohen S.,"Libalah M., Mofack G., Ngana O., Tayo K.",3.94314,14.9581,1/1/2016
Azingo001,Azingo,Gabon,Libalah M.,"V. Droissart,  Ehoarn Bidault, Davy Ulrich Ikabanga & Raul Niangadouma",-0.496493,10.064,6/6/2014
